entity_column,metric,raw,baseline,dr
Source,P1_IETD_W1_days,0.116211,0.000292,397.572594
Source,P1_AutocorrGap,0.007674,0.003068,2.501610
Source,P2_ActiveLifetime_W1,336.305490,22.473735,14.964379
Source,P2_BurstLen_W1_1d,920.275399,21.901415,42.018993
Source,P2_BurstLen_W1_3d,1760.428162,108.302099,16.254793
Source,P2_BurstLen_W1_7d,4368.813200,209.257347,20.877705
Source,P2_JELineBurst_W1,2.445890,0.015594,156.848118
Source,P3_Fanout_W1_CostCenter,2.155604,0.250143,8.617503
Source,P3_Fanout_W1_GLAccount,0.563582,0.120478,4.677899
Source,P3_Fanout_W1_ProfitCenter,8.196716,0.307349,26.669066
Source,P3_Fanout_W1_TradingPartner,4.253139,0.574212,7.406912
Source,P3_ClusteringGap,0.234766,0.006529,35.959881
Source,P3_TriangleLogRatio,1.810913,0.105774,17.120646
Source,P4_MeanGap,0.272500,0.065613,4.153163
TradingPartner,P1_IETD_W1_days,0.566420,0.000000,10000.000000
TradingPartner,P1_AutocorrGap,0.029808,0.015598,1.911000
TradingPartner,P2_ActiveLifetime_W1,339.327720,15.472267,21.931352
TradingPartner,P2_BurstLen_W1_1d,445.199501,56.941181,7.818586
TradingPartner,P2_BurstLen_W1_3d,747.430372,39.989197,18.690807
TradingPartner,P2_BurstLen_W1_7d,2060.739929,56.230674,36.647968
TradingPartner,P2_JELineBurst_W1,2.445890,0.015594,156.848118
TradingPartner,P3_Fanout_W1_CostCenter,1.158773,0.153373,7.555248
TradingPartner,P3_Fanout_W1_GLAccount,0.992889,0.091222,10.884337
TradingPartner,P3_Fanout_W1_ProfitCenter,4.460938,0.228857,19.492249
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000
TradingPartner,P3_ClusteringGap,0.132959,0.008237,16.142015
TradingPartner,P3_TriangleLogRatio,1.692206,0.025989,65.112254
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000
