entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.099609,0.000292,340.776509,false,true
Source,P1_AutocorrGap,0.003850,0.003068,1.255212,false,false
Source,P2_ActiveLifetime_W1,337.288890,22.473735,15.008137,false,false
Source,P2_BurstLen_W1_1d,912.826607,21.901415,41.678888,false,false
Source,P2_BurstLen_W1_3d,1730.325857,108.302099,15.976845,false,false
Source,P2_BurstLen_W1_7d,4235.604942,209.257347,20.241129,false,true
Source,P2_JELineBurst_W1,2.294684,0.015594,147.151699,false,false
Source,P3_Fanout_W1_CostCenter,1.645643,0.250143,6.578821,false,true
Source,P3_Fanout_W1_GLAccount,0.550083,0.120478,4.565851,false,true
Source,P3_Fanout_W1_ProfitCenter,2.442583,0.307349,7.947257,false,true
Source,P3_Fanout_W1_TradingPartner,3.915536,0.574212,6.818973,false,true
Source,P3_ClusteringGap,0.235884,0.006529,36.131216,false,false
Source,P3_TriangleLogRatio,1.246418,0.105774,11.783822,false,false
Source,P4_MeanGap,0.256731,0.065613,3.912824,false,false
TradingPartner,P1_IETD_W1_days,0.375977,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.019435,0.015598,1.245991,false,false
TradingPartner,P2_ActiveLifetime_W1,319.119675,15.472267,20.625270,false,false
TradingPartner,P2_BurstLen_W1_1d,441.896550,56.941181,7.760579,false,false
TradingPartner,P2_BurstLen_W1_3d,737.494570,39.989197,18.442345,false,false
TradingPartner,P2_BurstLen_W1_7d,2034.957335,56.230674,36.189453,false,true
TradingPartner,P2_JELineBurst_W1,2.294684,0.015594,147.151699,false,false
TradingPartner,P3_Fanout_W1_CostCenter,2.357329,0.153373,15.369884,false,true
TradingPartner,P3_Fanout_W1_GLAccount,2.503802,0.091222,27.447409,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,4.068908,0.228857,17.779255,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.008488,0.008237,1.030511,false,false
TradingPartner,P3_TriangleLogRatio,1.821389,0.025989,70.082913,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
