entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.093750,0.000292,320.730832,false,true
Source,P1_AutocorrGap,0.004705,0.003068,1.533916,false,false
Source,P2_ActiveLifetime_W1,335.848891,22.473735,14.944062,false,false
Source,P2_BurstLen_W1_1d,909.471021,21.901415,41.525674,false,false
Source,P2_BurstLen_W1_3d,1736.146720,108.302099,16.030592,false,false
Source,P2_BurstLen_W1_7d,4303.311487,209.257347,20.564685,false,true
Source,P2_JELineBurst_W1,2.681393,0.015594,171.950219,false,false
Source,P3_Fanout_W1_CostCenter,1.684935,0.250143,6.735897,false,true
Source,P3_Fanout_W1_GLAccount,0.609959,0.120478,5.062835,false,true
Source,P3_Fanout_W1_ProfitCenter,2.405187,0.307349,7.825583,false,true
Source,P3_Fanout_W1_TradingPartner,3.772628,0.574212,6.570095,false,true
Source,P3_ClusteringGap,0.239240,0.006529,36.645221,false,false
Source,P3_TriangleLogRatio,1.256464,0.105774,11.878798,false,false
Source,P4_MeanGap,0.275962,0.065613,4.205920,false,false
TradingPartner,P1_IETD_W1_days,0.314646,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.028584,0.015598,1.832533,false,false
TradingPartner,P2_ActiveLifetime_W1,309.611839,15.472267,20.010762,false,false
TradingPartner,P2_BurstLen_W1_1d,434.698630,56.941181,7.634170,false,false
TradingPartner,P2_BurstLen_W1_3d,729.560532,39.989197,18.243941,false,false
TradingPartner,P2_BurstLen_W1_7d,2018.701325,56.230674,35.900358,false,true
TradingPartner,P2_JELineBurst_W1,2.681393,0.015594,171.950219,false,false
TradingPartner,P3_Fanout_W1_CostCenter,3.005746,0.153373,19.597590,false,true
TradingPartner,P3_Fanout_W1_GLAccount,2.670351,0.091222,29.273164,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,4.417923,0.228857,19.304291,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.011318,0.008237,1.374053,false,false
TradingPartner,P3_TriangleLogRatio,1.763704,0.025989,67.863350,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
