entity_column,metric,raw,baseline,dr,is_degenerate_baseline
Source,P1_IETD_W1_days,0.108398,0.000292,370.845024,false
Source,P1_AutocorrGap,0.018103,0.003068,5.901577,false
Source,P2_ActiveLifetime_W1,337.548890,22.473735,15.019706,false
Source,P2_BurstLen_W1_1d,916.766186,21.901415,41.858765,false
Source,P2_BurstLen_W1_3d,1732.296211,108.302099,15.995038,false
Source,P2_BurstLen_W1_7d,4187.253386,209.257347,20.010066,false
Source,P2_JELineBurst_W1,1.826213,0.015594,117.109929,false
Source,P3_Fanout_W1_CostCenter,1.675329,0.250143,6.697495,false
Source,P3_Fanout_W1_GLAccount,0.556330,0.120478,4.617704,false
Source,P3_Fanout_W1_ProfitCenter,2.255560,0.307349,7.338753,false
Source,P3_Fanout_W1_TradingPartner,3.948952,0.574212,6.877166,false
Source,P3_ClusteringGap,0.239240,0.006529,36.645221,false
Source,P3_TriangleLogRatio,1.256464,0.105774,11.878798,false
Source,P4_MeanGap,0.245192,0.065613,3.736967,false
TradingPartner,P1_IETD_W1_days,0.374129,0.000000,100.000000,true
TradingPartner,P1_AutocorrGap,0.032724,0.015598,2.097952,false
TradingPartner,P2_ActiveLifetime_W1,332.366493,15.472267,21.481435,false
TradingPartner,P2_BurstLen_W1_1d,443.935614,56.941181,7.796389,false
TradingPartner,P2_BurstLen_W1_3d,739.039604,39.989197,18.480981,false
TradingPartner,P2_BurstLen_W1_7d,2036.032226,56.230674,36.208569,false
TradingPartner,P2_JELineBurst_W1,1.826213,0.015594,117.109929,false
TradingPartner,P3_Fanout_W1_CostCenter,2.532737,0.153373,16.513554,false
TradingPartner,P3_Fanout_W1_GLAccount,2.382522,0.091222,26.117895,false
TradingPartner,P3_Fanout_W1_ProfitCenter,4.069025,0.228857,17.779768,false
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true
TradingPartner,P3_ClusteringGap,0.020417,0.008237,2.478703,false
TradingPartner,P3_TriangleLogRatio,1.833595,0.025989,70.552566,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true
