entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.093750,0.000292,320.730832,false,true
Source,P1_AutocorrGap,0.004272,0.003068,1.392749,false,false
Source,P2_ActiveLifetime_W1,330.448016,22.473735,14.703742,false,false
Source,P2_BurstLen_W1_1d,908.893642,21.901415,41.499312,false,false
Source,P2_BurstLen_W1_3d,1730.068462,108.302099,15.974468,false,false
Source,P2_BurstLen_W1_7d,4275.584608,209.257347,20.432184,false,true
Source,P2_JELineBurst_W1,2.632954,0.015594,168.843959,false,false
Source,P3_Fanout_W1_CostCenter,1.644398,0.250143,6.573842,false,true
Source,P3_Fanout_W1_GLAccount,0.648719,0.120478,5.384556,false,true
Source,P3_Fanout_W1_ProfitCenter,2.629613,0.307349,8.555782,false,true
Source,P3_Fanout_W1_TradingPartner,3.819897,0.574212,6.652414,false,true
Source,P3_ClusteringGap,0.236144,0.006529,36.170999,false,false
Source,P3_TriangleLogRatio,1.369746,0.105774,12.949784,false,false
Source,P4_MeanGap,0.237500,0.065613,3.619729,false,false
TradingPartner,P1_IETD_W1_days,0.321505,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.010663,0.015598,0.683591,false,false
TradingPartner,P2_ActiveLifetime_W1,315.742381,15.472267,20.406989,false,false
TradingPartner,P2_BurstLen_W1_1d,436.875111,56.941181,7.672393,false,false
TradingPartner,P2_BurstLen_W1_3d,730.096652,39.989197,18.257347,false,false
TradingPartner,P2_BurstLen_W1_7d,2025.809310,56.230674,36.026766,false,true
TradingPartner,P2_JELineBurst_W1,2.632954,0.015594,168.843959,false,false
TradingPartner,P3_Fanout_W1_CostCenter,3.002772,0.153373,19.578199,false,true
TradingPartner,P3_Fanout_W1_GLAccount,2.610764,0.091222,28.619949,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,4.497106,0.228857,19.650283,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.009101,0.008237,1.104908,false,false
TradingPartner,P3_TriangleLogRatio,1.816909,0.025989,69.910555,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
