timestamp,pid,rss_kb,rss_gb,mem_available_kb
12:44:34,106573,231760,0,229332364
12:44:49,106573,267012,0,229309556
12:45:04,106573,274900,0,229316868
12:45:19,106573,271072,0,229334972
12:45:34,106573,190740,0,229405080
12:45:49,106573,226660,0,229375732
12:46:04,106573,246720,0,229342264
12:46:19,106573,163192,0,229416448
12:46:34,106573,201888,0,229371840
12:46:49,106573,234572,0,229322332
12:47:04,106573,233188,0,229328460
12:47:19,106573,184008,0,229344412
12:47:34,106573,213260,0,229332508
12:47:49,106573,234352,0,229317160
12:48:04,106573,226308,0,229286580
12:48:19,106573,156092,0,229370136
12:48:34,106573,260896,0,229276148
12:48:49,106573,249472,0,229294556
12:49:04,106573,306768,0,229233316
12:49:19,106573,176932,0,229371100
12:49:34,106573,205380,0,229340240
12:49:49,106573,241488,0,229304320
12:50:04,106573,263320,0,229283844
12:50:19,106573,176800,0,229367228
12:50:34,106573,222496,0,229318524
12:50:49,106573,240748,0,229303580
12:51:04,106573,274252,0,229268180
12:51:19,106573,205892,0,229339868
12:51:34,106573,209704,0,229336528
12:51:49,106573,242040,0,229299896
12:52:04,106573,311712,0,229230636
12:52:19,106573,255008,0,229283852
12:52:34,106573,270964,0,229268100
12:52:49,106573,271848,0,229253396
12:53:04,106573,271080,0,229261280
12:53:19,106573,206204,0,229331524
12:53:34,106573,217484,0,229318996
12:53:49,106573,251056,0,229282648
12:54:04,106573,264992,0,229272160
12:54:19,106573,202444,0,229343028
12:54:34,106573,219008,0,229305968
12:54:49,106573,241984,0,229239240
12:55:04,106573,340300,0,229200636
12:55:19,106573,248340,0,229295968
12:55:34,106573,270216,0,229277172
12:55:49,106573,253272,0,229285828
12:56:04,106573,296588,0,229240024
12:56:19,106573,204676,0,229330520
12:56:34,106573,215536,0,229317496
12:56:49,106573,311808,0,229226252
12:57:04,106573,298028,0,229227468
12:57:19,106573,245040,0,229297020
12:57:34,106573,258888,0,229281408
12:57:49,106573,274032,0,229256868
12:58:04,106573,181432,0,229344112
12:58:19,106573,212832,0,229336100
12:58:34,106573,226048,0,229306712
12:58:49,106573,330268,0,229206920
12:59:04,106573,341588,0,229192752
12:59:19,106573,208492,0,229320728
12:59:34,106573,257756,0,229273016
12:59:49,106573,267352,0,229260456
13:00:04,106573,176124,0,229347980
13:00:19,106573,204560,0,229320972
13:00:34,106573,229180,0,229303444
13:00:49,106573,312264,0,229210328
13:01:04,106573,219844,0,229307644
13:01:19,106573,215484,0,229317176
13:01:34,106573,225376,0,229307380
13:01:49,106573,315768,0,229211116
13:02:04,106573,205424,0,229321940
13:02:19,106573,230040,0,229296932
13:02:34,106573,238764,0,229289476
13:02:49,106573,255384,0,229274836
13:03:04,106573,247308,0,229280524
13:03:19,106573,265136,0,229255752
13:03:34,106573,252384,0,229274392
13:03:49,106573,281088,0,229250684
13:04:04,106573,213016,0,229311996
13:04:19,106573,225724,0,229300660
13:04:34,106573,240352,0,229289776
13:04:49,106573,338308,0,229190748
13:05:04,106573,208672,0,229313304
13:05:19,106573,241064,0,229280520
13:05:34,106573,239112,0,229287500
13:05:49,106573,273140,0,229253432
13:06:04,106573,238328,0,229286704
13:06:19,106573,262736,0,229260232
13:06:34,106573,273036,0,229260700
13:06:49,106573,287972,0,229236084
13:07:04,106573,211108,0,229298596
13:07:19,106573,227980,0,229303780
13:07:34,106573,264580,0,229248256
13:07:50,106573,338924,0,229175536
13:08:05,106573,209564,0,229305772
13:08:20,106573,243840,0,229279104
13:08:35,106573,261680,0,229261060
13:08:50,106573,275164,0,229242356
13:09:05,106573,194624,0,229168116
13:09:20,106573,283352,0,229239048
13:09:35,106573,318892,0,229201220
13:09:50,106573,288092,0,229221952
13:10:05,106573,203060,0,229323496
13:10:20,106573,254008,0,229274620
13:10:35,106573,252068,0,229271284
13:10:50,106573,329340,0,229178532
13:11:05,106573,372968,0,229137616
13:11:20,106573,276180,0,229245348
13:11:35,106573,284820,0,229243716
13:11:50,106573,306624,0,229209364
13:12:05,106573,224804,0,229273068
13:12:20,106573,253300,0,229278336
13:12:35,106573,261284,0,229267240
13:12:50,106573,279592,0,229241584
13:13:05,106573,261064,0,229272468
13:13:20,106573,258624,0,229282696
13:13:35,106573,285556,0,229254860
13:13:50,106573,302948,0,229233484
13:14:05,106573,219876,0,229275276
13:14:20,106573,284536,0,229250352
13:14:35,106573,299776,0,229234788
13:14:50,106573,302388,0,229237716
13:15:05,106573,209940,0,229349720
13:15:20,106573,256812,0,229291672
13:15:35,106573,264204,0,229287636
13:15:50,106573,287892,0,229269348
13:16:05,106573,283720,0,229265556
13:16:20,106573,247148,0,229302012
13:16:35,106573,289080,0,229253948
13:16:50,106573,316372,0,229230376
13:17:05,106573,226852,0,229297216
13:17:20,106573,246028,0,229308588
13:17:35,106573,332884,0,229217568
13:17:50,106573,325032,0,229226328
13:18:05,106573,247316,0,229305464
13:18:20,106573,268720,0,229272864
13:18:35,106573,277692,0,229264736
13:18:50,106573,299884,0,229256780
13:19:05,106573,287964,0,229252144
13:19:20,106573,263076,0,229265260
13:19:35,106573,304840,0,229224444
13:19:50,106573,340284,0,229190444
13:20:05,106573,239372,0,229286212
13:20:20,106573,258804,0,229284804
13:20:35,106573,358284,0,229177724
13:20:50,106573,326580,0,229204608
13:21:05,106573,234036,0,229309024
13:21:20,106573,279448,0,229267584
13:21:35,106573,304040,0,229237752
13:21:50,106573,303924,0,229228304
13:22:05,106573,272112,0,229258480
13:22:20,106573,302748,0,229234344
13:22:35,106573,311512,0,229228644
13:22:50,106573,331528,0,229220104
13:23:05,106573,239036,0,229306944
13:23:20,106573,267896,0,229274500
13:23:35,106573,290912,0,229253612
13:23:50,106573,376352,0,229170548
13:24:05,106573,290764,0,229254600
13:24:20,106573,271536,0,229279764
13:24:35,106573,306268,0,229239476
13:24:50,106573,332240,0,229213240
13:25:05,106573,244636,0,229291844
13:25:20,106573,267436,0,229274940
13:25:35,106573,336924,0,229210492
13:25:50,106573,338572,0,229201748
13:26:05,106573,255192,0,229284780
13:26:20,106573,286716,0,229256380
13:26:35,106573,289844,0,229242332
13:26:50,106573,319296,0,229224360
13:27:05,106573,235668,0,229277448
13:27:20,106573,315276,0,229228148
13:27:35,106573,315528,0,229226868
13:27:50,106573,335020,0,229212304
13:28:05,106573,262740,0,229276800
13:28:20,106573,274844,0,229271272
13:28:35,106573,297072,0,229250572
13:28:50,106573,376924,0,229169140
13:29:05,106573,256096,0,229286488
13:29:20,106573,300104,0,229238120
13:29:35,106573,311592,0,229228288
13:29:50,106573,322620,0,229213172
13:30:05,106573,307544,0,229212520
13:30:20,106573,324512,0,229227036
13:30:35,106573,323620,0,229219724
13:30:50,106573,321080,0,229227436
13:31:05,106573,255608,0,229293968
13:31:20,106573,267084,0,229271748
13:31:35,106573,361264,0,229179408
13:31:50,106573,332028,0,229216344
13:32:05,106573,271892,0,229272532
13:32:20,106573,288920,0,229262948
13:32:35,106573,308924,0,229244344
13:32:50,106573,324028,0,229166904
13:33:05,106573,300132,0,229251324
13:33:20,106573,278756,0,229282364
13:33:35,106573,307004,0,229223468
13:33:50,106573,330740,0,229226264
13:34:05,106573,303768,0,229237244
