entity_column,metric,raw,baseline,dr,is_degenerate_baseline,is_volume_bounded
Source,P1_IETD_W1_days,0.073335,0.000292,250.889070,false,true
Source,P1_AutocorrGap,0.032862,0.003068,10.712599,false,false
Source,P2_ActiveLifetime_W1,312.671792,22.473735,13.912765,false,false
Source,P2_BurstLen_W1_1d,813.293122,21.901415,37.134273,false,false
Source,P2_BurstLen_W1_3d,1636.516813,108.302099,15.110666,false,false
Source,P2_BurstLen_W1_7d,4378.289071,209.257347,20.922989,false,true
Source,P2_JELineBurst_W1,2.224293,0.015594,142.637679,false,false
Source,P3_Fanout_W1_CostCenter,1.657003,0.250143,6.624236,false,true
Source,P3_Fanout_W1_GLAccount,0.609291,0.120478,5.057294,false,true
Source,P3_Fanout_W1_ProfitCenter,2.357580,0.307349,7.670689,false,true
Source,P3_Fanout_W1_TradingPartner,3.838132,0.574212,6.684172,false,true
Source,P3_ClusteringGap,0.239240,0.006529,36.645221,false,false
Source,P3_TriangleLogRatio,1.256464,0.105774,11.878798,false,false
Source,P4_MeanGap,0.245192,0.065613,3.736967,false,false
TradingPartner,P1_IETD_W1_days,0.206213,0.000000,100.000000,true,true
TradingPartner,P1_AutocorrGap,0.039209,0.015598,2.513693,false,false
TradingPartner,P2_ActiveLifetime_W1,395.230616,15.472267,25.544455,false,false
TradingPartner,P2_BurstLen_W1_1d,392.637447,56.941181,6.895492,false,false
TradingPartner,P2_BurstLen_W1_3d,689.580738,39.989197,17.244176,false,false
TradingPartner,P2_BurstLen_W1_7d,1993.047348,56.230674,35.444131,false,true
TradingPartner,P2_JELineBurst_W1,2.224293,0.015594,142.637679,false,false
TradingPartner,P3_Fanout_W1_CostCenter,2.636654,0.153373,17.191095,false,true
TradingPartner,P3_Fanout_W1_GLAccount,2.598374,0.091222,28.484135,false,true
TradingPartner,P3_Fanout_W1_ProfitCenter,4.163444,0.228857,18.192333,false,true
TradingPartner,P3_Fanout_W1_TradingPartner,0.000000,0.000000,0.000000,true,true
TradingPartner,P3_ClusteringGap,0.010660,0.008237,1.294148,false,false
TradingPartner,P3_TriangleLogRatio,1.857786,0.025989,71.483385,false,false
TradingPartner,P4_MeanGap,0.000000,0.000000,0.000000,true,false
